TOK_added,DATE_added,SHOT_added,TIME_added,α0,αI,αB,αP,αn,αM,αR,αe,αk,ind_added,id
AUG,19950518,6483,4.0,0.10567,0.770548,0.23856,-0.608545,0.382818,0.184311,1.99294,0.715038,0.431763,1515,1
AUG,19960223,7555,2.498,0.105675,0.770298,0.238353,-0.608776,0.383779,0.184398,1.99415,0.715524,0.43186,1529,2
AUG,19960301,7634,3.499,0.105664,0.770694,0.238136,-0.608774,0.383673,0.184313,1.99367,0.714873,0.431415,1532,3
AUG,19960301,7639,3.5,0.105666,0.770447,0.238338,-0.608788,0.38372,0.184357,1.99393,0.715307,0.431781,1533,4
AUG,19960301,7640,3.501,0.105665,0.770471,0.238325,-0.608794,0.383715,0.18435,1.99391,0.715278,0.431757,1534,5
AUG,19960301,7641,3.5,0.105668,0.770373,0.238385,-0.608787,0.383744,0.18438,1.99401,0.715413,0.431893,1535,6
AUG,19960301,7643,3.5,0.105667,0.770415,0.238359,-0.608785,0.383727,0.184368,1.99396,0.71535,0.431829,1536,7
AUG,19960305,7654,3.81,0.105675,0.77064,0.238189,-0.60866,0.383348,0.184395,1.99339,0.714796,0.431503,1537,8
AUG,19960307,7696,1.75,0.105677,0.770281,0.23839,-0.608771,0.383755,0.184406,1.99413,0.715532,0.43194,1540,9
AUG,19960307,7707,1.75,0.105675,0.770399,0.238278,-0.608738,0.383664,0.184381,1.99395,0.715303,0.431725,1541,10
AUG,19960307,7707,2.5,0.105684,0.770681,0.237995,-0.608326,0.38323,0.18437,1.99294,0.714304,0.43099,1542,11
AUG,19960424,7933,2.003,0.105672,0.770563,0.238103,-0.608678,0.383564,0.184343,1.99371,0.714961,0.431393,1543,12
AUG,19960424,7933,2.803,0.105667,0.770659,0.237978,-0.608686,0.383568,0.184311,1.9937,0.714904,0.43106,1544,13
AUG,19960424,7933,3.503,0.105667,0.770671,0.237944,-0.608667,0.383576,0.184305,1.99369,0.714867,0.43098,1545,14
AUG,19960424,7934,2.002,0.105671,0.770568,0.238093,-0.608696,0.383576,0.184336,1.99374,0.714987,0.431376,1546,15
AUG,19960424,7934,3.002,0.105667,0.770641,0.238003,-0.608701,0.383577,0.184313,1.99374,0.714961,0.431101,1547,16
AUG,19960502,8006,3.4,0.105669,0.770616,0.238038,-0.608668,0.383529,0.184304,1.99365,0.714876,0.431289,1548,17
AUG,19960502,8007,2.25,0.105673,0.770413,0.238245,-0.608746,0.383678,0.184353,1.99398,0.715293,0.431699,1549,18
AUG,19960502,8007,3.2,0.105664,0.770388,0.23826,-0.608917,0.383825,0.184329,1.99433,0.715585,0.431798,1550,19
AUG,19960503,8030,2.55,0.105648,0.771011,0.238126,-0.608958,0.383137,0.186021,1.99312,0.714447,0.430949,1557,20
AUG,19960507,8040,1.55,0.105657,0.770135,0.238606,-0.608854,0.383825,0.184371,1.99437,0.715972,0.432234,1559,21
AUG,19960507,8041,1.6,0.105659,0.770181,0.238706,-0.608868,0.383661,0.184321,1.9942,0.715991,0.432311,1560,22
AUG,19960507,8041,2.1,0.10564,0.769984,0.239257,-0.609388,0.383819,0.183961,1.99518,0.717644,0.43273,1561,23
AUG,19960507,8042,1.6,0.10566,0.77019,0.238682,-0.608855,0.38366,0.18434,1.99418,0.715933,0.432295,1562,24
AUG,19960507,8042,2.102,0.105642,0.770068,0.239235,-0.609324,0.383655,0.184008,1.99488,0.717361,0.432718,1563,25
AUG,19960507,8044,2.6,0.105665,0.770333,0.238311,-0.608903,0.383837,0.184347,1.99436,0.715653,0.431877,1564,26
AUG,19960507,8044,3.0,0.105665,0.770325,0.23831,-0.608907,0.383854,0.184345,1.99439,0.71567,0.431881,1565,27
AUG,19960507,8044,3.1,0.105665,0.770327,0.238313,-0.608903,0.383845,0.184347,1.99437,0.715657,0.431887,1566,28
